nom,ville,cp,region,lat,lon
Pharmacie Pons,,,Île-de-France,48.7765266,1.9911208
Pharmacie de la Boële,Sainte-Geneviève-des-Bois,91700.0,Île-de-France,48.6493269,2.3038004
Pharmacie Maraichers,,,Île-de-France,48.8533987,2.406081
Pharmacie Centrale des Pyrénées,,,Île-de-France,48.8573349,2.4038534
Pharmacie Maison Blanche,,,Île-de-France,48.808878,2.2985799
SELARL Pharmacie du Palais,,,Île-de-France,48.7867303,2.4454476
Pharmacie Bembaron,,,Île-de-France,48.7862499,2.4525514
Pharmacie de l’Universalité,Créteil,94000.0,Île-de-France,48.7903746,2.4539238
Pharmacie Nguyen,,,Île-de-France,48.7934723,2.4559292
Pharmacie de la Levrière,,,Île-de-France,48.7895991,2.4495458
Pharmacie Benaïs,,,Île-de-France,48.7912576,2.4450973
Pharmacie Soumet,,,Île-de-France,48.779697,2.4567857
Pharmacie Rehana,,,Île-de-France,48.7808854,2.4644758
Pharmacie Jolie Ferme,,,Île-de-France,48.7715674,2.1236131
Pharmacie du Parc,Évry,91000.0,Île-de-France,48.6368308,2.4419295
Pharmacie de l'Aguado,Évry,91000.0,Île-de-France,48.6334027,2.4430025
Pharmacie du Mousseau,Évry,91000.0,Île-de-France,48.628113,2.4528022
Grande Pharmacie Évry 2,Évry,91000.0,Île-de-France,48.6295674,2.4261493
Pharmacie Russo,Évry,91000.0,Île-de-France,48.6279395,2.4260583
Pharmacie Pierre Duguet,Évry,91000.0,Île-de-France,48.6354379,2.4380055
Pharmacie Moungang Mejionang,Courcouronnes,91080.0,Île-de-France,48.6332221,2.4133188
Sarl Pharmacie Place Denfert-Rochereau,,,Île-de-France,48.8346489,2.3330683
Pharmacie Carrefour de Weiden,,,Île-de-France,48.8226989,2.2678584
Pharmacie Fugeray Page,,,Île-de-France,48.1831187,2.7344031
Pharmacie Rossignol,,,Île-de-France,48.1490635,2.7023393
Pharmacie Centrale,,,Île-de-France,48.1494651,2.7027662
Pharmacie du Parc,,,Île-de-France,48.8044586,2.4981647
Pharmacie du Centre,Orsay,91400.0,Île-de-France,48.6967812,2.186769
Pharmacie de la Place,,91400.0,Île-de-France,48.6968075,2.1847589
Grande Pharmacie d'Avron,,,Île-de-France,48.8519996,2.4016737
Pharmacie du Pont Colbert,Versailles,78000.0,Île-de-France,48.7928925,2.1437318
Pharmacie Goncourt,,,Île-de-France,48.8697016,2.3714823
Pharmacie des cliniques,,,Île-de-France,48.8663678,2.3735097
Pharmacie du Métro Parmentier,Paris,75011.0,Île-de-France,48.865162,2.3741879
Pharmacie Saint-Maur Oberkampf,Paris,75011.0,Île-de-France,48.8658968,2.3774054
Pharmacie de l'Hôpital Saint-Louis,,,Île-de-France,48.8736618,2.3646917
Pharmacie Tomasini Cohen,,,Île-de-France,48.8701624,2.3706958
Pharmacie Mimouni,,,Île-de-France,48.8706026,2.3727062
Pharmacie Planells,,,Île-de-France,48.4469005,2.7638029
Pharmacie Choumin,,,Île-de-France,48.8663019,2.3713203
Pharmacie du 20ème,,,Île-de-France,48.8666671,2.3837961
,Paris,75011.0,Île-de-France,48.8687118,2.3798647
Pharmacie principale,Paris,75020.0,Île-de-France,48.8680375,2.3866814
Pharmacie Diderot,,,Île-de-France,48.8463393,2.3794911
Pharmacie Froux,Paris,75012.0,Île-de-France,48.8468182,2.3839633
Pharmacie Benhamou,,,Île-de-France,48.8483622,2.3941331
Pharmacie Steuer,,,Île-de-France,48.8505616,2.3818961
Pharmacie de Chaligny,,,Île-de-France,48.8499708,2.3841427
Pharmacie Reuilly Diderot,,,Île-de-France,48.8471042,2.3871676
,,,Île-de-France,48.8489281,2.3761561
Pharmacie Verdun,,,Île-de-France,48.8995122,2.2618668
Pharmacie du Faubourg de l'Arche,,,Île-de-France,48.8975245,2.2403557
Pharmacie du Lion,,,Île-de-France,48.8329627,2.3315938
Pharmacie du Haut Mesnil,,,Île-de-France,48.870016,2.3963974
Pharmacie des Écoles,,,Île-de-France,48.7455821,2.2953586
Pharmacie Magenta,,,Île-de-France,48.8707066,2.3614499
Pharmacie du Progrès,,,Île-de-France,48.8212635,2.3034673
Pharmacie de la Mairie,,,Île-de-France,48.8016023,2.264285
Pharmacie Kennedy,Pontoise,95000.0,Île-de-France,49.062792,2.0921271
Pharmacie des Louvrais,,95300.0,Île-de-France,49.057663,2.0890727
,,,Île-de-France,48.3737962,2.9428583
,,,Île-de-France,48.3855579,2.9568696
Pharmacie Pladys,,,Île-de-France,48.3868556,2.9559467
Pharmacie Morssi,,,Île-de-France,48.8505446,2.4430771
Pharmacie Griveau,Carrières-sous-Poissy,78955.0,Île-de-France,48.9485137,2.0368188
Pharmacie du Sud,,,Île-de-France,48.8151374,2.2863067
Pharmacie du Rond-Point,,,Île-de-France,48.8170386,2.3185417
Pharmacie de Julien de Zélicourt,,,Île-de-France,48.7621255,1.9177143
Pharmacie Lourmel,,75015.0,Île-de-France,48.8389201,2.2828876
Pharmacie du Grand Pavois,Paris,,Île-de-France,48.8364681,2.2819452
Pharmacie du Marché,Charenton-le-Pont,94220.0,Île-de-France,48.8224546,2.4125725
Pharmacie Rivaux et Arbaut,,,Île-de-France,48.8647822,2.4045312
Leadersanté,,,Île-de-France,48.864397,2.409669
Phamacie Aux Enfants,,92130.0,Île-de-France,48.8221546,2.252384
Pharmacie Gallieni,,,Île-de-France,48.8489207,2.5567122
Pharmacie de la Médiathèque,Noisy-le-Grand,93160.0,Île-de-France,48.8463605,2.55266
Pharmacie du Marché,Noisy-le-Grand,93160.0,Île-de-France,48.8475446,2.5532545
Pharmacie Pasteur,,,Île-de-France,48.8410092,2.1813105
Pharmacie de la Mairie,,,Île-de-France,48.824728,2.2729468
,,,Île-de-France,48.9469002,2.6615063
Pharmacie de l'Epte,,,Île-de-France,49.1398672,1.6582449
Pharmacie du village Batignolles,,,Île-de-France,48.8856296,2.3199522
Pharmacie Raspail,,,Île-de-France,48.8021067,2.3314429
Pharmacie Ganachaud,,,Île-de-France,48.9747626,2.0502443
Grande Pharmacie de Bercy,,,Île-de-France,48.8365312,2.3932203
Pharmacie de la Place,Paris,75012.0,Île-de-France,48.8361512,2.3875057
Dahan,,,Île-de-France,48.8435459,2.2377436
Pharmacie de Bagatelle,,,Île-de-France,48.8779979,2.2517483
Pharmacie du Bois de Boulogne,,,Île-de-France,48.8811759,2.2559599
Pharmacie Bedoucha-Rossi,Nogent sur Marne,94130.0,Île-de-France,48.8357478,2.4730519
Pharmacie Moreau-Quiet,,,Île-de-France,48.8366731,2.4755239
Pharmacie de l'Horloge,,,Île-de-France,48.880387,2.2770882
Pharmacie du 130,,,Île-de-France,48.8833363,2.2661219
Pharmacie Medromi,,,Île-de-France,48.4764755,2.5553723
Pharmacie de la Louvière,,,Île-de-France,48.8046559,2.4852004
Pharmacie des Diablots,,,Île-de-France,49.0088878,2.240588
Pharmacie des Arcades,,,Île-de-France,48.7944671,2.3358135
Pharmacie Dang Trung,,,Île-de-France,48.8374325,2.3912706
Pharmacie Payen,,,Île-de-France,48.8751889,2.7451163
Pharmacie des Écoles,Poissy,78300.0,Île-de-France,48.9284429,2.042247
Pharmacie des Merisiers,Jouy-le-Moutier,95280.0,Île-de-France,49.0111388,2.028904
Pharmacie des Eguerets,Jouy-le-Moutier,95280.0,Île-de-France,49.011932,2.0436651
Pharmacie de la Mairie,,,Île-de-France,48.8837555,2.2711104
Pharmacie du centre,,,Île-de-France,48.8831102,2.2739145
Pharmacie de Neuilly,,,Île-de-France,48.8822111,2.2772346
Pharmacie Trebois,,,Île-de-France,48.8917668,2.2891128
Pharmacie Bardol,,,Île-de-France,48.8900399,2.288116
Pharmacie Vasram,,,Île-de-France,48.8875644,2.2855303
Pharmacie Thomasset,,,Île-de-France,48.8887214,2.2873413
Pharmacie Carnot,,,Île-de-France,48.8916898,2.2866375
Aprium Pharmacie - Grande Pharmacie Anatole France,,,Île-de-France,48.8920002,2.2852899
Pharmacie Château-Villiers,,,Île-de-France,48.8940611,2.276556
Pharmacie La Fontaine,,,Île-de-France,48.770159,2.316422
Pharmacie PARO,Alfortville,94140.0,Île-de-France,48.8146533,2.4154358
Pharmacie Poiré,,,Île-de-France,48.941011,2.5775472
Pharmacie Pasteur,,,Île-de-France,48.9427328,2.5705781
Pharmacie Plaisance,,,Île-de-France,48.8315542,2.3147243
Pharmacie Didot-Pernety,,,Île-de-France,48.8321147,2.3204611
Pharmacie Bleue,,,Île-de-France,48.8615019,2.3742714
Grande Pharmacie Popincourt,,,Île-de-France,48.8591105,2.376008
Pharmacie AMAR,,,Île-de-France,48.8920786,2.2934453
Pharmacie des deux boulevards,,,Île-de-France,48.8615812,2.3729669
Pharmacie Voltaire,,,Île-de-France,48.8648604,2.3686851
Pharmacie des Hauts de Chatou,,,Île-de-France,48.9017763,2.155939
Pharmacie de la Cité,,,Île-de-France,48.4690073,2.7070355
Pharmacie Fathalla,Évry,91000.0,Île-de-France,48.6317918,2.4273035
,,,Île-de-France,48.7121753,2.4019344
Nationale,,,Île-de-France,48.8296212,2.3650676
Pharmacie de la Mairie,Brunoy,91800.0,Île-de-France,48.6982357,2.5039869
Pharmacie Baudoin,Brunoy,91800.0,Île-de-France,48.6908301,2.4943518
Pharmacie des Hautes Mardelles,,,Île-de-France,48.7086679,2.5223882
Pharmacie Netter,,,Île-de-France,48.844461,2.4054819
Pharmacie 257,Paris,75012.0,Île-de-France,48.8367412,2.4039504
Pharmacie de Carbon,,,Île-de-France,48.8898012,2.1974995
Pharmacie Well & Well,,,Île-de-France,48.8897692,2.1948278
Pharmacie Sol et Touton,,,Île-de-France,48.8919044,2.1955522
Pharmacie Ganter-Oulié,,,Île-de-France,48.8901346,2.1954893
Pharmacie du Train Bleu,,,Île-de-France,48.8459819,2.3731803
Grande Pharmacie du Départ,,,Île-de-France,48.8465693,2.3723121
Pharmacie du Viaduc,,,Île-de-France,48.8447988,2.3825028
Pharmacie Élysée Village,,,Île-de-France,48.859647,2.1480631
Pharmacie de la Gare de Lyon,,,Île-de-France,48.8460166,2.3767039
Pharmacie des Oiseaux,Saint-Germain-en-Laye,78100.0,Île-de-France,48.8952933,2.0821591
Pharmacie Sarrette,,,Île-de-France,48.8274146,2.3319952
Pharmacie des Jardies,,,Île-de-France,48.8275857,2.2003872
Pharmacie de la Gare,Pontoise,95300.0,Île-de-France,49.0479903,2.0956939
Pharmacie Siou,Pontoise,95300.0,Île-de-France,49.050389,2.1003163
Pharmacie Lejour,Pontoise,95300.0,Île-de-France,49.0495666,2.1027825
Pharmacie 57,Pontoise,95300.0,Île-de-France,49.0541976,2.092888
Pharmacie des Cordeliers,,,Île-de-France,49.058415,2.0942773
Pharmacie du Centre,,,Île-de-France,48.989126,2.2592519
Pharmacie du Marché,,,Île-de-France,48.7919413,2.2860497
Pharmacie de Wissous,,,Île-de-France,48.7374206,2.3273402
Pharmacie du Midi,,,Île-de-France,48.8471162,2.4365305
Pharmacie de Vincennes,,,Île-de-France,48.8478431,2.4371598
Pharmacie Bonne Nouvelle,,,Île-de-France,48.847732,2.4420494
Pharmacie Defrance,,,Île-de-France,48.8480822,2.4459831
,,,Île-de-France,49.0775769,1.9266415
Pharmacie des Champs aux Melles,,,Île-de-France,48.8889696,2.2199092
Pharmacie Notre-Dame,Pontoise,95300.0,Île-de-France,49.0496227,2.0915306
Pharmacie de la Challe,,,Île-de-France,49.0185644,2.1000053
Pharmacie Gatti,,,Île-de-France,48.883313,2.313319
Pharmacie Pierre Ben Fredj,Bures-sur-Yvette,91440.0,Île-de-France,48.6972149,2.1629661
Pharmacie de l'Église,,,Île-de-France,48.892816,2.4122983
Pharmacie du Vieux Pays,,,Île-de-France,48.943093,2.4965602
Pharmacie de l'Hôtel de Ville,,,Île-de-France,48.9028799,2.4817821
Pharmacie Desjardin,,,Île-de-France,48.888861,2.1828072
La Petite Pharmacie de Nanterre,,,Île-de-France,48.8912676,2.1925058
Pharmacie de la Gare,,,Île-de-France,48.9984358,2.0974129
Pharmacie des Arts,Fontenay-sous-Bois,,Île-de-France,48.8520934,2.4849953
Pharmacie Campo-Formio Phovea,,,Île-de-France,48.8356906,2.3590066
Pharmacie du Pont de Suresnes,,,Île-de-France,48.8681611,2.2256945
Pharmacie des Batignolles,,,Île-de-France,48.8889774,2.3193555
Pharmacie de la Mairie,,,Île-de-France,48.8845426,2.3213297
Pharmacie Népenthès,,,Île-de-France,48.8928875,2.3164329
Pharmacie de la Gare,Asnières-sur-Seine,92600.0,Île-de-France,48.9063406,2.2836105
Pharmacie de l'Hôpital,Issy-les-Moulineaux,92130.0,Île-de-France,48.8280586,2.2813147
Pharmacie d'Issy,,,Île-de-France,48.827293,2.2796307
Pharmacie F. Gabriel,,,Île-de-France,48.832047,2.3041505
Pharmacie Brancion-Vouillé,,,Île-de-France,48.8347305,2.3044574
Pharmacie Alleray,,,Île-de-France,48.8369001,2.3060929
Pharmacie de la Mairie,,,Île-de-France,48.9910516,2.2591027
Pharmacie du Marché,,,Île-de-France,48.972968,1.9818428
Pharmacie Renoul Georgel,,,Île-de-France,48.8933844,2.3277691
Pharmacie Berger,Gif-sur-Yvette,91190.0,Île-de-France,48.6972324,2.1304914
Pharmacie de la Mairie,,,Île-de-France,48.8576477,2.3541855
Pharmacie du Village,,,Île-de-France,48.8591061,2.3538958
Pharmacie des Écoles,,,Île-de-France,48.8917065,2.2012871
Pharmacie du Petit Nanterre,,,Île-de-France,48.9107608,2.2214337
Pharmacie de la Gare,,,Île-de-France,48.8952159,2.1965907
Pharmacie du marché,,,Île-de-France,48.880045,2.2764518
Pharmacie Baini,,,Île-de-France,48.883055,2.2877856
Pharmacie de Paris,,,Île-de-France,48.8853973,2.2907825
Pharmavance Vanves,Vanves,92170.0,Île-de-France,48.8248961,2.2955216
Pharmacie Centrale Mouton Unger,,,Île-de-France,48.8262497,2.2780098
Pharmacie Corentin,Issy-les-Moulineaux,92130.0,Île-de-France,48.8265051,2.2787209
Pharmacie du Haut Moulin,,92130.0,Île-de-France,48.8225949,2.2765557
Guez,,,Île-de-France,48.8213151,2.2855152
Pharmacie Dabi,,,Île-de-France,48.8214042,2.2734787
Pharmacie des Épinettes,,,Île-de-France,48.8178407,2.2601802
Pharmacie Chiche,,,Île-de-France,48.932505,2.4936571
Pharmacie des Thermes,,,Île-de-France,48.9692608,2.3049489
Pharmacie du Square,,,Île-de-France,48.8135808,2.3070756
Pharmacie CHAU VINH,,,Île-de-France,48.7703946,2.3114497
Pharmacie Truong,,,Île-de-France,48.7793621,2.3277269
Pharmacie Nahmani,,,Île-de-France,48.8335964,2.3657803
Pharmacie Provinoise,Provins,77160.0,Île-de-France,48.5605591,3.3012229
Pharmacie Saint-Ayoul,,,Île-de-France,48.5607552,3.3022418
Pharmacie de la Friperie,Provins,77160.0,Île-de-France,48.5599324,3.2994398
Pharmacie Centrale,,,Île-de-France,48.5605564,3.2978872
Pharmacie de la Gare,,,Île-de-France,48.819002,2.2910809
Pharmacie des Chênes,,,Île-de-France,48.9965796,2.2551138
,,,Île-de-France,48.8379927,2.4176004
CareStore Salpétrière,,,Île-de-France,48.8351716,2.3586353
Pharmacie des Stades,,,Île-de-France,48.8385579,2.2512584
Arlette Scagliola-Jost,,,Île-de-France,48.8510622,2.5040724
Pharmacie Ahdane,,,Île-de-France,48.9436654,2.4822428
Pharmacie Jeanne d'Arc,,,Île-de-France,48.84067,2.4178437
Pharmacie La Fontaine,Paris,,Île-de-France,48.8528196,2.2754934
Pharmacie Meziane,,,Île-de-France,48.8989078,2.2093772
La Pharmacie Jaune,,,Île-de-France,48.9033814,2.3311715
Pharmacie Carnelos,,,Île-de-France,48.8894281,2.2024646
Pharmacie de Monttessuy,Juvisy-sur-Orge,91260.0,Île-de-France,48.6880125,2.3842591
Grande Pharmacie Mortier,,,Île-de-France,48.867548,2.4092194
Pharmacie Michel,Bagneaux-sur-Loing,77167.0,Île-de-France,48.2402223,2.7021293
Pharmacie Doco-Beauregard,,,Île-de-France,48.2535925,2.7023865
Pharmacie des Gâtines,,,Île-de-France,48.8039757,1.964122
Pharmacie de Bailly,,78870.0,Île-de-France,48.8407096,2.0783495
Pharmacie du Marché,,,Île-de-France,48.8375402,2.4876251
pharmacie des colonnes,,,Île-de-France,48.7814184,2.3159889
Pharmacie de la Gare,,78160.0,Île-de-France,48.8710933,2.0971928
Pharmacie des sports,,,Île-de-France,48.8809801,2.2850743
Pharmacie Beaujean,,,Île-de-France,48.7786699,2.0414309
Pharmacie de la Haie Bertrand,,,Île-de-France,48.9649453,2.530472
Etienney,Le Perreux-sur-Marne,94170.0,Île-de-France,48.8427304,2.5029063
Pharmacie du Parc,Le Perreux-sur-Marne,94170.0,Île-de-France,48.8431577,2.5031382
Pharmacie Jacques Cabot,Bouray-sur-Juine,91850.0,Île-de-France,48.5191453,2.2957848
Pharmacie Courcelles - Demours,Paris,75017.0,Île-de-France,48.883307,2.299164
Pharmacie du Centre Commercial,,,Île-de-France,48.994275,2.1979307
Pharmacie Rossignol,,,Île-de-France,48.8370966,2.4955796
Pharmacie de la Gare,,,Île-de-France,48.9902623,2.1632184
Aprium - Pharmacie du Marché,Le Perreux-sur-Marne,94170.0,Île-de-France,48.8417143,2.5054934
Pharmacie du Marché Saint-Louis,,,Île-de-France,48.844952,2.1869709
pharmacie traditionnelle chinoise,,,Île-de-France,48.8735594,2.3798822
Pharmacie Willemot,,,Île-de-France,48.7014999,2.1044473
Pharmacie Dupuy,,,Île-de-France,48.5393605,2.6401145
Pharmacie Chy,,,Île-de-France,48.5433879,2.6345875
Pharmacie des écoles,,,Île-de-France,48.8348078,2.5074808
Pharmacie du Pont de Bry,Le Perreux-sur-Marne,94170.0,Île-de-France,48.8341281,2.5153026
Pharmacie Verte,,,Île-de-France,48.9915908,2.2917569
Pharmacie Emrik,,,Île-de-France,48.8812543,2.300208
Pharmacie du Pont Neuf,,,Île-de-France,48.8600139,2.3442832
Aprium,,,Île-de-France,48.8844473,2.296777
Pharmacie Beaubourg,,,Île-de-France,48.8616909,2.351843
Pharmacie de Suffren,,,Île-de-France,48.8513862,2.3002551
Pharmacie Saint-Eustache,,,Île-de-France,48.8641153,2.3464533
Pharmacie de la Banque,Paris,,Île-de-France,48.8639497,2.3401609
Pharmacie des Petits Champs,,,Île-de-France,48.8664904,2.337698
Victoire Opéra,,,Île-de-France,48.8669671,2.3362355
Pharmacie des Pyramides,Paris,,Île-de-France,48.8647572,2.3326227
Pharmacie de la Croix Bleue,,,Île-de-France,49.0628977,2.2991151
Gagne Petit,,,Île-de-France,48.8721807,2.3777353
Pharmacie Mutualiste,Paris,75002.0,Île-de-France,48.8644149,2.3508382
Pharmacie Saint-Hilaire,,,Île-de-France,48.7924208,2.5136105
Pharma Market,Viarmes,95270.0,Île-de-France,49.1302348,2.3707314
Pharmacie des Halles,,,Île-de-France,48.8591816,2.3488558
Pharmacie du Temple,,,Île-de-France,48.8597261,2.354074
Pharmacie Rambuteau,,,Île-de-France,48.8600862,2.3565927
Pharmacie des Archives,,,Île-de-France,48.8571121,2.3541574
Pharmacie Bénad,,,Île-de-France,48.8573803,2.3575668
Pharmacie Casajuane Vitte,,,Île-de-France,48.8397449,2.3014421
Pharmacie des Vignes Benettes,Le Pecq,78230.0,Île-de-France,48.8811359,2.096361
Pharmacie Lor et Leuk,,,Île-de-France,48.8257885,2.3477809
Pharmacie des Tournelles,,,Île-de-France,48.8538727,2.3672318
Pharmacie Centrale de la Bastille,,,Île-de-France,48.8540855,2.368565
Pharmacie du Château,Herblay-sur-Seine,95220.0,Île-de-France,48.9920486,2.1681326
Pharmacie du Centre,Herblay-sur-Seine,95220.0,Île-de-France,48.9905391,2.1667121
Pharmacie Saint-Paul,,,Île-de-France,48.854295,2.3632625
Pharmacie de Bry,,,Île-de-France,48.8369764,2.5207208
Pharmacie du Colombier,,,Île-de-France,48.8392295,2.5230324
Pharmacie des Arts et Métiers,,,Île-de-France,48.8651032,2.3557846
Pharmacie des Musées,,,Île-de-France,48.8609131,2.3546841
Pharmacie de la Mairie,,,Île-de-France,48.7896718,2.5747134
Pharmacie Charret,,,Île-de-France,48.8632446,2.3614945
Pharmacie de Bretagne,,,Île-de-France,48.8625296,2.3635149
Grande Pharmacie de Turenne,,,Île-de-France,48.8612625,2.3644482
Pharmacie Etienney,Linas,91310.0,Île-de-France,48.6313183,2.2655072
Pharmacie de Leuville sur Orge,Leuville-sur-Orge,91310.0,Île-de-France,48.6219368,2.2689542
Pharmacie des Bordes,La Queue-en-Brie,94510.0,Île-de-France,48.7921395,2.5723903
Pharmacie des Charmes,,,Île-de-France,48.7804942,2.5737581
Pharmacie Marat,,,Île-de-France,48.8082784,2.3878783
Grande Pharmacie Saint-Maur,,,Île-de-France,48.8628288,2.3793549
Pharmacie des Théâtres,,,Île-de-France,48.8805625,2.3348575
Pharmacie Sébag,,,Île-de-France,48.8796517,2.3722324
Pharmacie du Théâtre Français,Paris,75001.0,Île-de-France,48.864011,2.335707
Pharmacie Générale,Paris,75018.0,Île-de-France,48.8845806,2.3332877
Pharmacie de la Butte Montmartre,,75018.0,Île-de-France,48.885539,2.3346124
Pharmacie du Moulin,,75018.0,Île-de-France,48.886018,2.335121
Pharmacie du Bateau Lavoir,,75018.0,Île-de-France,48.8861637,2.3381011
Pharmacie Internationale,Paris,75009.0,Île-de-France,48.881922,2.337556
Pharmacie Filippi,,,Île-de-France,48.8033475,2.4850558
Pharmacie de l'Église,,,Île-de-France,48.6036855,2.4681717
Pharmacie de la Gare,,,Île-de-France,48.9471612,2.2564536
Pharmacie des 4 Arbres,Élancourt,78990.0,Île-de-France,48.7725739,1.9510453
,,,Île-de-France,48.7756117,1.9459402
Pharmacie des Templiers,,,Île-de-France,48.7705773,1.9713676
Pharmacie de la Plaine,,,Île-de-France,48.9086308,2.1521238
Grande Pharmacie de Rosny II,,,Île-de-France,48.8843053,2.4769557
Pharmacie du Centre-ville,,,Île-de-France,48.9068778,2.150785
Pharmacie St Exupery,,,Île-de-France,48.7353361,2.3238632
Pharmacie de l'Église,,,Île-de-France,48.9197373,1.9764282
Jagot Lacoussière,,,Île-de-France,48.2369915,2.9020173
Pharmacie des 7 Chemins,,,Île-de-France,48.8679153,2.44625
Pharmacie Gambetta,,,Île-de-France,48.8647092,2.3990492
Pharmacie Lellouch,,,Île-de-France,48.802115,2.4298726
Pharmacie Servat,,,Île-de-France,48.804063,2.4272933
Pharmacie du Centre,,,Île-de-France,48.800928,2.4317282
Pharmacie de la Gare,,,Île-de-France,48.9217915,2.1873816
Pharmacie Tran Van Thoan,,,Île-de-France,48.8051016,2.325706
Pharmacie Saint-Germain des Prés,Paris,,Île-de-France,48.8533699,2.3334602
Pharmacie du Parc,,,Île-de-France,48.9439074,2.3253703
Pharmacie Larmanon Fabienne,Ballancourt-sur-Essonne,91610.0,Île-de-France,48.5247454,2.384678
Rennes-Assas,,,Île-de-France,48.8487469,2.3287439
Pharmacie Méderic,Noisy-le-Grand,93160.0,Île-de-France,48.8294421,2.5640209
Pharmacie d'Assas,,,Île-de-France,48.8470048,2.3301595
Pharmacie Vavin,,,Île-de-France,48.8439265,2.3302977
