annee;atc2;l_atc2;region;boites;population;boites_pour_1000
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;27;1800883;2800180;643
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;28;2240074;3348960;669
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;32;4784096;5983840;800
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;44;3922173;5557457;706
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;52;1820799;3926871;464
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;53;1655344;3469711;477
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;75;4842826;6181885;783
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;76;4297379;6165869;697
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;84;4489643;8238335;545
2024;A03;MEDICAMENTS POUR LES TROUBLES FONCTIONNELS GASTROINTESTINAUX;93;5307663;5252362;1011
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;11;1414036;12507542;113
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;24;295631;2588006;114
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;27;340071;2800180;121
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;28;401380;3348960;120
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;32;929270;5983840;155
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;44;780763;5557457;140
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;52;324220;3926871;83
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;53;290823;3469711;84
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;75;790555;6181885;128
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;76;829300;6165869;134
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;84;779950;8238335;95
2024;A04;ANTIEMETIQUES ET ANTINAUSEEUX;93;906835;5252362;173
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;11;242767;12507542;19
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;24;52420;2588006;20
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;27;61980;2800180;22
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;28;64387;3348960;19
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;32;134961;5983840;23
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;44;144287;5557457;26
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;52;60978;3926871;16
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;53;65882;3469711;19
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;75;127132;6181885;21
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;76;162390;6165869;26
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;84;199948;8238335;24
2024;A05;THERAPEUTIQUE HEPATIQUE ET BILIAIRE;93;178634;5252362;34
2024;A06;LAXATIFS;11;6718894;12507542;537
2024;A06;LAXATIFS;24;1587216;2588006;613
2024;A06;LAXATIFS;27;1626528;2800180;581
2024;A06;LAXATIFS;28;2375166;3348960;709
2024;A06;LAXATIFS;32;4538807;5983840;759
2024;A06;LAXATIFS;44;3162106;5557457;569
2024;A06;LAXATIFS;52;2573148;3926871;655
2024;A06;LAXATIFS;53;2120356;3469711;611
2024;A06;LAXATIFS;75;4748846;6181885;768
2024;A06;LAXATIFS;76;4571862;6165869;741
2024;A06;LAXATIFS;84;4719693;8238335;573
2024;A06;LAXATIFS;93;3916258;5252362;746
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;11;2986402;12507542;239
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;24;626328;2588006;242
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;27;756468;2800180;270
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;28;927562;3348960;277
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;32;2318153;5983840;387
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;44;1675428;5557457;301
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;52;737219;3926871;188
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;53;717375;3469711;207
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;75;1521500;6181885;246
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;76;1446705;6165869;235
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;84;1786622;8238335;217
2024;A07;ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTIINFECTIEUX INTESTINAUX;93;1672326;5252362;318
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;11;208842;12507542;17
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;24;57224;2588006;22
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;27;74464;2800180;27
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;28;72957;3348960;22
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;32;157848;5983840;26
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;44;141963;5557457;26
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;52;80839;3926871;21
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;53;99847;3469711;29
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;75;158069;6181885;26
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;76;147747;6165869;24
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;84;212864;8238335;26
2024;A09;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES;93;150686;5252362;29
2024;A10;MEDICAMENTS DU DIABETE;11;13372991;12507542;1069
2024;A10;MEDICAMENTS DU DIABETE;24;3510057;2588006;1356
2024;A10;MEDICAMENTS DU DIABETE;27;3879357;2800180;1385
2024;A10;MEDICAMENTS DU DIABETE;28;4184567;3348960;1250
2024;A10;MEDICAMENTS DU DIABETE;32;8453459;5983840;1413
2024;A10;MEDICAMENTS DU DIABETE;44;7541559;5557457;1357
2024;A10;MEDICAMENTS DU DIABETE;52;3622864;3926871;923
2024;A10;MEDICAMENTS DU DIABETE;53;3132316;3469711;903
2024;A10;MEDICAMENTS DU DIABETE;75;7621740;6181885;1233
2024;A10;MEDICAMENTS DU DIABETE;76;7617840;6165869;1235
2024;A10;MEDICAMENTS DU DIABETE;84;9243829;8238335;1122
2024;A10;MEDICAMENTS DU DIABETE;93;7720902;5252362;1470
2024;A11;VITAMINES;11;14185132;12507542;1134
2024;A11;VITAMINES;24;2692528;2588006;1040
2024;A11;VITAMINES;27;3123235;2800180;1115
2024;A11;VITAMINES;28;3720862;3348960;1111
2024;A11;VITAMINES;32;7813480;5983840;1306
2024;A11;VITAMINES;44;6789791;5557457;1222
2024;A11;VITAMINES;52;4172671;3926871;1063
2024;A11;VITAMINES;53;3795205;3469711;1094
2024;A11;VITAMINES;75;6649278;6181885;1076
2024;A11;VITAMINES;76;6160000;6165869;999
2024;A11;VITAMINES;84;7463802;8238335;906
2024;A11;VITAMINES;93;6960446;5252362;1325
2024;A12;SUPPLEMENTS MINERAUX;11;2751416;12507542;220
2024;A12;SUPPLEMENTS MINERAUX;24;744283;2588006;288
2024;A12;SUPPLEMENTS MINERAUX;27;928498;2800180;332
2024;A12;SUPPLEMENTS MINERAUX;28;1197986;3348960;358
2024;A12;SUPPLEMENTS MINERAUX;32;2269431;5983840;379
2024;A12;SUPPLEMENTS MINERAUX;44;2833099;5557457;510
2024;A12;SUPPLEMENTS MINERAUX;52;1124528;3926871;286
2024;A12;SUPPLEMENTS MINERAUX;53;1172473;3469711;338
2024;A12;SUPPLEMENTS MINERAUX;75;1818195;6181885;294
2024;A12;SUPPLEMENTS MINERAUX;76;1679838;6165869;272
2024;A12;SUPPLEMENTS MINERAUX;84;1962591;8238335;238
2024;A12;SUPPLEMENTS MINERAUX;93;1538966;5252362;293
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;11;211540;12507542;17
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;24;45670;2588006;18
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;27;65177;2800180;23
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;28;53722;3348960;16
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;32;145507;5983840;24
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;44;136720;5557457;25
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;52;60239;3926871;15
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;53;52280;3469711;15
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;75;111277;6181885;18
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;76;244797;6165869;40
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;84;210427;8238335;26
2024;A16;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;93;211056;5252362;40
2024;B01;ANTITHROMBOTIQUES;11;10678036;12507542;854
2024;B01;ANTITHROMBOTIQUES;24;3348526;2588006;1294
2024;B01;ANTITHROMBOTIQUES;27;3823971;2800180;1366
2024;B01;ANTITHROMBOTIQUES;28;4446549;3348960;1328
2024;B01;ANTITHROMBOTIQUES;32;7951275;5983840;1329
2024;B01;ANTITHROMBOTIQUES;44;7617730;5557457;1371
2024;B01;ANTITHROMBOTIQUES;52;4436872;3926871;1130
2024;B01;ANTITHROMBOTIQUES;53;4330519;3469711;1248
2024;B01;ANTITHROMBOTIQUES;75;8321916;6181885;1346
2024;B01;ANTITHROMBOTIQUES;76;8169794;6165869;1325
2024;B01;ANTITHROMBOTIQUES;84;9232287;8238335;1121
2024;B01;ANTITHROMBOTIQUES;93;7509985;5252362;1430
2024;B02;ANTIHEMMORRAGIQUES;11;323423;12507542;26
2024;B02;ANTIHEMMORRAGIQUES;24;65757;2588006;25
2024;B02;ANTIHEMMORRAGIQUES;27;58421;2800180;21
2024;B02;ANTIHEMMORRAGIQUES;28;77178;3348960;23
2024;B02;ANTIHEMMORRAGIQUES;32;141556;5983840;24
2024;B02;ANTIHEMMORRAGIQUES;44;137488;5557457;25
2024;B02;ANTIHEMMORRAGIQUES;52;86956;3926871;22
2024;B02;ANTIHEMMORRAGIQUES;53;79223;3469711;23
2024;B02;ANTIHEMMORRAGIQUES;75;150858;6181885;24
2024;B02;ANTIHEMMORRAGIQUES;76;158996;6165869;26
2024;B02;ANTIHEMMORRAGIQUES;84;182037;8238335;22
2024;B02;ANTIHEMMORRAGIQUES;93;164445;5252362;31
2024;B03;PREPARATIONS ANTIANEMIQUES;11;4699107;12507542;376
2024;B03;PREPARATIONS ANTIANEMIQUES;24;868235;2588006;335
2024;B03;PREPARATIONS ANTIANEMIQUES;27;1034894;2800180;370
2024;B03;PREPARATIONS ANTIANEMIQUES;28;1219475;3348960;364
2024;B03;PREPARATIONS ANTIANEMIQUES;32;2605176;5983840;435
2024;B03;PREPARATIONS ANTIANEMIQUES;44;2098287;5557457;378
2024;B03;PREPARATIONS ANTIANEMIQUES;52;1209580;3926871;308
2024;B03;PREPARATIONS ANTIANEMIQUES;53;1292261;3469711;372
2024;B03;PREPARATIONS ANTIANEMIQUES;75;1951525;6181885;316
2024;B03;PREPARATIONS ANTIANEMIQUES;76;2350496;6165869;381
2024;B03;PREPARATIONS ANTIANEMIQUES;84;2484415;8238335;302
2024;B03;PREPARATIONS ANTIANEMIQUES;93;2413514;5252362;460
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;11;3563315;12507542;285
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;24;522545;2588006;202
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;27;558201;2800180;199
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;28;1192965;3348960;356
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;32;1774649;5983840;297
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;44;1868140;5557457;336
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;52;587414;3926871;150
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;53;570713;3469711;164
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;75;1830179;6181885;296
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;76;2185036;6165869;354
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;84;1886240;8238335;229
2024;B05;SUBSTITUTS DU SANG ET SOLUTIONS DE PERFUSION;93;4125997;5252362;786
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;11;954;12507542;0
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;28;135;3348960;0
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;32;553;5983840;0
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;44;386;5557457;0
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;53;203;3469711;0
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;75;327;6181885;0
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;76;292;6165869;0
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;84;578;8238335;0
2024;B06;AUTRES MEDICAMENTS UTILISES EN HEMATOLOGIE;93;361;5252362;0
2024;C01;MEDICAMENTS EN CARDIOLOGIE;11;1695789;12507542;136
2024;C01;MEDICAMENTS EN CARDIOLOGIE;24;529232;2588006;204
2024;C01;MEDICAMENTS EN CARDIOLOGIE;27;579257;2800180;207
2024;C01;MEDICAMENTS EN CARDIOLOGIE;28;688820;3348960;206
2024;C01;MEDICAMENTS EN CARDIOLOGIE;32;1207073;5983840;202
2024;C01;MEDICAMENTS EN CARDIOLOGIE;44;1314000;5557457;236
2024;C01;MEDICAMENTS EN CARDIOLOGIE;52;623154;3926871;159
2024;C01;MEDICAMENTS EN CARDIOLOGIE;53;626890;3469711;181
2024;C01;MEDICAMENTS EN CARDIOLOGIE;75;1344030;6181885;217
2024;C01;MEDICAMENTS EN CARDIOLOGIE;76;1272903;6165869;206
2024;C01;MEDICAMENTS EN CARDIOLOGIE;84;1356567;8238335;165
2024;C01;MEDICAMENTS EN CARDIOLOGIE;93;1213333;5252362;231
2024;C02;ANTIHYPERTENSEURS;11;1116034;12507542;89
2024;C02;ANTIHYPERTENSEURS;24;332505;2588006;128
2024;C02;ANTIHYPERTENSEURS;27;315167;2800180;113
2024;C02;ANTIHYPERTENSEURS;28;421883;3348960;126
2024;C02;ANTIHYPERTENSEURS;32;1064100;5983840;178
2024;C02;ANTIHYPERTENSEURS;44;841004;5557457;151
2024;C02;ANTIHYPERTENSEURS;52;301630;3926871;77
2024;C02;ANTIHYPERTENSEURS;53;318312;3469711;92
2024;C02;ANTIHYPERTENSEURS;75;580502;6181885;94
2024;C02;ANTIHYPERTENSEURS;76;527997;6165869;86
2024;C02;ANTIHYPERTENSEURS;84;603910;8238335;73
2024;C02;ANTIHYPERTENSEURS;93;560807;5252362;107
2024;C03;DIURETIQUES;11;3308046;12507542;264
2024;C03;DIURETIQUES;24;1192714;2588006;461
2024;C03;DIURETIQUES;27;1467318;2800180;524
2024;C03;DIURETIQUES;28;1680288;3348960;502
2024;C03;DIURETIQUES;32;2859770;5983840;478
2024;C03;DIURETIQUES;44;2845698;5557457;512
2024;C03;DIURETIQUES;52;1595662;3926871;406
2024;C03;DIURETIQUES;53;1601450;3469711;462
2024;C03;DIURETIQUES;75;2961157;6181885;479
2024;C03;DIURETIQUES;76;2659265;6165869;431
2024;C03;DIURETIQUES;84;3606461;8238335;438
2024;C03;DIURETIQUES;93;2294689;5252362;437
2024;C05;VASCULOPROTECTEURS;11;16488;12507542;1
2024;C05;VASCULOPROTECTEURS;24;2641;2588006;1
2024;C05;VASCULOPROTECTEURS;27;2632;2800180;1
2024;C05;VASCULOPROTECTEURS;28;3392;3348960;1
2024;C05;VASCULOPROTECTEURS;32;12269;5983840;2
2024;C05;VASCULOPROTECTEURS;44;9669;5557457;2
2024;C05;VASCULOPROTECTEURS;52;5192;3926871;1
2024;C05;VASCULOPROTECTEURS;53;4633;3469711;1
2024;C05;VASCULOPROTECTEURS;75;9450;6181885;2
2024;C05;VASCULOPROTECTEURS;76;11472;6165869;2
2024;C05;VASCULOPROTECTEURS;84;10661;8238335;1
2024;C05;VASCULOPROTECTEURS;93;15369;5252362;3
2024;C07;BETABLOQUANTS;11;6005191;12507542;480
2024;C07;BETABLOQUANTS;24;2205768;2588006;852
2024;C07;BETABLOQUANTS;27;2110129;2800180;754
2024;C07;BETABLOQUANTS;28;2600389;3348960;776
2024;C07;BETABLOQUANTS;32;4854950;5983840;811
2024;C07;BETABLOQUANTS;44;4159838;5557457;749
2024;C07;BETABLOQUANTS;52;2324656;3926871;592
2024;C07;BETABLOQUANTS;53;2487175;3469711;717
2024;C07;BETABLOQUANTS;75;4916511;6181885;795
2024;C07;BETABLOQUANTS;76;4195926;6165869;681
2024;C07;BETABLOQUANTS;84;5106348;8238335;620
2024;C07;BETABLOQUANTS;93;4079839;5252362;777
2024;C08;INHIBITEURS CALCIQUES;11;3940274;12507542;315
2024;C08;INHIBITEURS CALCIQUES;24;1036741;2588006;401
2024;C08;INHIBITEURS CALCIQUES;27;1043334;2800180;373
2024;C08;INHIBITEURS CALCIQUES;28;1287474;3348960;384
2024;C08;INHIBITEURS CALCIQUES;32;2182391;5983840;365
2024;C08;INHIBITEURS CALCIQUES;44;1909642;5557457;344
2024;C08;INHIBITEURS CALCIQUES;52;1204265;3926871;307
2024;C08;INHIBITEURS CALCIQUES;53;1320289;3469711;381
2024;C08;INHIBITEURS CALCIQUES;75;2304118;6181885;373
2024;C08;INHIBITEURS CALCIQUES;76;2359078;6165869;383
2024;C08;INHIBITEURS CALCIQUES;84;2738155;8238335;332
2024;C08;INHIBITEURS CALCIQUES;93;2441671;5252362;465
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;11;9330737;12507542;746
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;24;2813229;2588006;1087
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;27;2956137;2800180;1056
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;28;3429965;3348960;1024
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;32;6098275;5983840;1019
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;44;5382284;5557457;968
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;52;3133408;3926871;798
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;53;3358442;3469711;968
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;75;6522238;6181885;1055
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;76;5796424;6165869;940
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;84;7777930;8238335;944
2024;C09;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE;93;6111894;5252362;1164
2024;C10;AGENTS MODIFIANT LES LIPIDES;11;8181807;12507542;654
2024;C10;AGENTS MODIFIANT LES LIPIDES;24;2395253;2588006;926
2024;C10;AGENTS MODIFIANT LES LIPIDES;27;2610313;2800180;932
2024;C10;AGENTS MODIFIANT LES LIPIDES;28;3154234;3348960;942
2024;C10;AGENTS MODIFIANT LES LIPIDES;32;5385791;5983840;900
2024;C10;AGENTS MODIFIANT LES LIPIDES;44;4721635;5557457;850
2024;C10;AGENTS MODIFIANT LES LIPIDES;52;2862698;3926871;729
2024;C10;AGENTS MODIFIANT LES LIPIDES;53;2979128;3469711;859
2024;C10;AGENTS MODIFIANT LES LIPIDES;75;5392844;6181885;872
2024;C10;AGENTS MODIFIANT LES LIPIDES;76;4939146;6165869;801
2024;C10;AGENTS MODIFIANT LES LIPIDES;84;6184451;8238335;751
2024;C10;AGENTS MODIFIANT LES LIPIDES;93;5574984;5252362;1061
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;11;3541678;12507542;283
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;24;613087;2588006;237
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;27;668354;2800180;239
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;28;824827;3348960;246
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;32;2035266;5983840;340
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;44;1707982;5557457;307
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;52;860633;3926871;219
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;53;824185;3469711;238
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;75;1693595;6181885;274
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;76;1780713;6165869;289
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;84;1878600;8238335;228
2024;D01;ANTIFONGIQUES A USAGE DERMATOLOGIQUE;93;1871865;5252362;356
2024;D02;EMOLLIENTS ET PROTECTEURS;11;2158526;12507542;173
2024;D02;EMOLLIENTS ET PROTECTEURS;24;228823;2588006;88
2024;D02;EMOLLIENTS ET PROTECTEURS;27;237699;2800180;85
2024;D02;EMOLLIENTS ET PROTECTEURS;28;339723;3348960;101
2024;D02;EMOLLIENTS ET PROTECTEURS;32;835219;5983840;140
2024;D02;EMOLLIENTS ET PROTECTEURS;44;693142;5557457;125
2024;D02;EMOLLIENTS ET PROTECTEURS;52;264078;3926871;67
2024;D02;EMOLLIENTS ET PROTECTEURS;53;233122;3469711;67
2024;D02;EMOLLIENTS ET PROTECTEURS;75;516391;6181885;84
2024;D02;EMOLLIENTS ET PROTECTEURS;76;671481;6165869;109
2024;D02;EMOLLIENTS ET PROTECTEURS;84;851806;8238335;103
2024;D02;EMOLLIENTS ET PROTECTEURS;93;855433;5252362;163
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;11;330832;12507542;26
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;24;58179;2588006;22
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;27;66486;2800180;24
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;28;85407;3348960;26
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;32;193570;5983840;32
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;44;161244;5557457;29
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;52;81985;3926871;21
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;53;80135;3469711;23
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;75;150566;6181885;24
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;76;174980;6165869;28
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;84;192771;8238335;23
2024;D05;MEDICAMENTS CONTRE LE PSORIASIS;93;184096;5252362;35
2024;D06;ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE;11;1063893;12507542;85
2024;D06;ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE;24;210634;2588006;81
2024;D06;ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE;27;241876;2800180;86
